threshold,hysteresis_high,hysteresis_low,smoothing_window,avg_mse,avg_correlation,median_mse,median_correlation,processed
0.3,0.5,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.5,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.5,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.5,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.5,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.5,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.6,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.6,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.6,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.6,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.6,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.6,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.7,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.7,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.7,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.7,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.3,0.7,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.3,0.7,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.5,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.5,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.5,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.5,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.5,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.5,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.6,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.6,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.6,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.6,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.6,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.6,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.7,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.7,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.7,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.7,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.4,0.7,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.4,0.7,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.5,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.5,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.5,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.5,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.5,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.5,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.6,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.6,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.6,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.6,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.6,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.6,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.7,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.7,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.7,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.7,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.5,0.7,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.5,0.7,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.5,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.5,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.5,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.5,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.5,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.5,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.6,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.6,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.6,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.6,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.6,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.6,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.7,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.7,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.7,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.7,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.6,0.7,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.6,0.7,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.5,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.5,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.5,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.5,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.5,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.5,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.6,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.6,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.6,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.6,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.6,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.6,0.4,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.7,0.2,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.7,0.2,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.7,0.3,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.7,0.3,5,0.446394,0.3092,0.446394,0.3092,1
0.7,0.7,0.4,3,0.446823,0.3077,0.446823,0.3077,1
0.7,0.7,0.4,5,0.446394,0.3092,0.446394,0.3092,1
